,0,1,accuracy,macro avg,weighted avg
precision,0.9944093547285763,0.22880258899676376,0.9052107684186713,0.6116059718626701,0.9702189290561812
recall,0.9072185017909983,0.8436754176610979,0.9052107684186713,0.8754469597260481,0.9052107684186713
f1-score,0.9488150500855118,0.359979633401222,0.9052107684186713,0.654397341743367,0.9302099645270533
support,25684.0,838.0,0.9052107684186713,26522.0,26522.0
