,0,1,accuracy,macro avg,weighted avg
precision,0.9814755154639175,0.04310222600311924,0.4823919764723626,0.5122888707335184,0.9518262877824399
recall,0.47445880703940196,0.7255369928400954,0.4823919764723626,0.5999978999397487,0.4823919764723626
f1-score,0.6396850393700787,0.08137044967880086,0.4823919764723626,0.3605277445244398,0.6220443023909183
support,25684.0,838.0,0.4823919764723626,26522.0,26522.0
