,0,1,accuracy,macro avg,weighted avg
precision,0.9944525049073996,0.22927461139896374,0.9053615866073449,0.6118635581531816,0.970275630057838
recall,0.9073353060270986,0.8448687350835322,0.9053615866073449,0.8761020205553154,0.9053615866073449
f1-score,0.9488985707887129,0.36067244014263883,0.9053615866073449,0.6547855054656758,0.9303127364820464
support,25684.0,838.0,0.9053615866073449,26522.0,26522.0
