model,mean_auc,std_auc,fold_aucs
LogReg_L1,0.6663069385202267,0.010538629478550022,[0.65908958 0.68277505 0.66206791 0.65376373 0.67383842]
RandomForest,0.9221160455143925,0.004619275021047983,[0.917295   0.92900189 0.92195106 0.91703096 0.92530132]
LightGBM,0.9406719545307265,0.005027026215959228,[0.93579644 0.9496255  0.93622301 0.93972683 0.94198799]
XGBoost,0.9483928266607382,0.0030628559611644833,[0.94479994 0.95408757 0.94789464 0.94746372 0.94771827]
